name,url,reason,source
"OpenAI API","https://openai.com/blog/openai-api","Domain exists","awesome-generative-ai"
"GitHub Copilot","https://github.blog/2021-06-29-introducing-github-copilot-ai-pair-programmer","Name exists","awesome-generative-ai"
"Stable Diffusion Public Release","https://stability.ai/blog/stable-diffusion-public-release","Domain exists","awesome-generative-ai"
"OPT","https://huggingface.co/facebook/opt-350m","Domain exists","awesome-generative-ai"
"Llama","https://www.llama.com","Name exists","awesome-generative-ai"
"Claude","https://claude.ai","Domain exists","awesome-generative-ai"
"Mistral","https://mistral.ai/en/models","Domain exists","awesome-generative-ai"
"ChatGPT","https://chatgpt.com","Name exists","awesome-generative-ai"
"Copilot","https://copilot.microsoft.com","Domain exists","awesome-generative-ai"
"Gemini","https://gemini.google.com","Domain exists","awesome-generative-ai"
"Character.AI","https://character.ai","Domain exists","awesome-generative-ai"
"Pi","https://pi.ai","Domain exists","awesome-generative-ai"
"Qwen","https://chat.qwenlm.ai","Name exists","awesome-generative-ai"
"Perplexity AI","https://www.perplexity.ai","Domain exists","awesome-generative-ai"
"Phind","https://phind.com","Domain exists","awesome-generative-ai"
"You.com","https://you.com","Domain exists","awesome-generative-ai"
"Jasper","https://www.jasper.ai","Domain exists","awesome-generative-ai"
"Rytr","https://rytr.me","Domain exists","awesome-generative-ai"
"wordtune","https://www.wordtune.com","Domain exists","awesome-generative-ai"
"copy.ai","https://www.copy.ai","Domain exists","awesome-generative-ai"
"ChatSonic","https://writesonic.com/chat","Domain exists","awesome-generative-ai"
"Anyword","https://anyword.com","Domain exists","awesome-generative-ai"
"QuillBot","https://quillbot.com","Domain exists","awesome-generative-ai"
"Mem","https://mem.ai","Domain exists","awesome-generative-ai"
"Taskade","https://www.taskade.com","Domain exists","awesome-generative-ai"
"Notion AI","https://www.notion.so/product/ai","Domain exists","awesome-generative-ai"
"Otter.ai","https://otter.ai","Domain exists","awesome-generative-ai"
"Fireflies.ai","https://fireflies.ai","Domain exists","awesome-generative-ai"
"Elicit","https://elicit.org","Domain exists","awesome-generative-ai"
"Explainpaper","https://www.explainpaper.com","Domain exists","awesome-generative-ai"
"Consensus","https://consensus.app/search","Domain exists","awesome-generative-ai"
"scite","https://scite.ai","Domain exists","awesome-generative-ai"
"OpenAI Codex","https://platform.openai.com/docs/guides/code","Domain exists","awesome-generative-ai"
"Amazon Q","https://aws.amazon.com/q","Domain exists","awesome-generative-ai"
"tabnine","https://www.tabnine.com","Domain exists","awesome-generative-ai"
"CodiumAI","https://www.codium.ai","Domain exists","awesome-generative-ai"
"Continue","https://www.continue.dev","Domain exists","awesome-generative-ai"
"Windsurf","https://windsurf.com","Name exists","awesome-generative-ai"
"LangChain","https://langchain.com","Domain exists","awesome-generative-ai"
"Cursor","https://www.cursor.so","Name exists","awesome-generative-ai"
"Together AI","https://www.together.ai","Domain exists","awesome-generative-ai"
"Google AI Studio","https://aistudio.google.com","Domain exists","awesome-generative-ai"
"Devin","https://devin.ai","Name exists","awesome-generative-ai"
"Claude Code","https://code.claude.com","Name exists","awesome-generative-ai"
"Poe","https://poe.com","Domain exists","awesome-generative-ai"
"GPT Builder","https://chat.openai.com/gpts/editor","Domain exists","awesome-generative-ai"
"Midjourney","https://www.midjourney.com","Domain exists","awesome-generative-ai"
"Imagen","https://imagen.research.google","Domain exists","awesome-generative-ai"
"Craiyon","https://www.craiyon.com","Domain exists","awesome-generative-ai"
"DreamStudio","https://beta.dreamstudio.ai","Name exists","awesome-generative-ai"
"Playground","https://playground.com","Domain exists","awesome-generative-ai"
"Ideogram","https://ideogram.ai","Domain exists","awesome-generative-ai"
"Nightcafe","https://creator.nightcafe.studio","Name exists","awesome-generative-ai"
"Leonardo AI","https://leonardo.ai","Domain exists","awesome-generative-ai"
"Lexica","https://lexica.art","Domain exists","awesome-generative-ai"
"Runway","https://runwayml.com","Domain exists","awesome-generative-ai"
"Synthesia","https://www.synthesia.io","Domain exists","awesome-generative-ai"
"Pictory","https://pictory.ai","Domain exists","awesome-generative-ai"
"Pika","https://pika.art","Domain exists","awesome-generative-ai"
"HeyGen","https://app.heygen.com","Name exists","awesome-generative-ai"
"Luma Dream Machine","https://lumalabs.ai/dream-machine","Domain exists","awesome-generative-ai"
"D-ID","https://www.d-id.com","Domain exists","awesome-generative-ai"
"Resemble AI","https://www.resemble.ai","Domain exists","awesome-generative-ai"
"Play.ht","https://play.ht","Domain exists","awesome-generative-ai"
