name,url,reason
"AI Chat Travel Assistant","https://apps.apple.com/app/","Invalid URL"
"Scispace","https://typeset.io/","Domain exists"
"Genei","https://www.genei.io/","Domain exists"
"Compose","https://www.compose.ai/","Domain exists"
"Playbooks","https://www.twig.so/","Domain exists"
"Harmonai","https://www.harmonai.org/","Domain exists"
"CM3leon by Meta","https://ai.meta.com/blog/","Domain exists"
"MeetGeek","https://meetgeek.grsm.io/","Name exists"
"HeyGen","https://www.heygen.com/","Domain exists"
"Microsoft Bing","https://www.bing.com/","Domain exists"
"Deepfake Generator","https://www.synthesia.io/tools/","Domain exists"
"Quick Creator","https://quickcreator.io/","Domain exists"
"LlamaIndex","https://www.llamaindex.ai/","Domain exists"
"Consensus","https://consensus.app/","Domain exists"
"Stable Horde","https://stablehorde.net/","Domain exists"
"Mintlify","https://mintlify.com/","Domain exists"
"PlayHT","https://play.ht/","Domain exists"
"Playground AI","https://playgroundai.com/","Name exists"
"Altered","https://www.altered.ai/","Domain exists"
"Khan Academy Khanmigo","https://www.khanacademy.org/","Domain exists"
"Kadoa","https://www.kadoa.com/","Domain exists"
"Openart","https://openart.ai/","Domain exists"
"PDF AI","https://www.pdfai.io/","Name exists"
"Rytr","https://rytr.me/","Domain exists"
"Smol Developer","https://app.e2b.dev/agent","Domain exists"
"Voicemod Text to Song","https://www.voicemod.net/","Domain exists"
"Galactica","https://galactica.org/","Domain exists"
"GummySearch","https://gummysearch.com/","Domain exists"
"Copysmith","https://copysmith.ai/","Domain exists"
"Cogram","https://www.cogram.com/","Domain exists"
"Coderabbit.ai","https://coderabbit.ai/","Domain exists"
"Lex","https://lex.page/","Domain exists"
"Surfer","https://surferseo.com/","Domain exists"
"Stableboost","https://stableboost.ai/","Domain exists"
"AlphaDev","https://www.deepmind.com/blog/","Domain exists"
"AI Poem Generator","https://www.aipoemgenerator.org/","Domain exists"
"Krisp","https://krisp.ai/","Domain exists"
"Taplio","https://taplio.com/","Domain exists"
"Civitai","https://civitai.com/","Domain exists"
"Musenet","https://openai.com/blog/musenet/","Domain exists"
"Pictory","https://pictory.ai/","Domain exists"
"Eleven Labs","https://elevenlabs.io/","Domain exists"
"Poe","https://poe.com/login","Domain exists"
"Taranify","https://taranify.app/","Name exists"
"Getalpaca","https://www.getalpaca.io/","Domain exists"
"Pinecone","https://www.pinecone.io/","Domain exists"
"AgentGPT","https://agentgpt.reworkd.ai/","Domain exists"
"Fliki","https://fliki.ai/","Domain exists"
"Contentinator","https://www.figma.com/community/plugin/1184099018479632867/","Domain exists"
"HeadlinesAI","https://headlinesai.pro/","Domain exists"
"ResearchRabbit","https://www.researchrabbit.ai/","Domain exists"
"LOVO","https://lovo.ai/","Domain exists"
"Metaphor Systems","https://metaphor.systems/","Domain exists"
"Coqui","https://coqui.ai/","Domain exists"
"Murf AI","https://murf.ai/","Domain exists"
"Mutable","https://mutable.ai/","Domain exists"
"Krea","https://www.krea.ai/","Domain exists"
"Sourcely.net","https://www.sourcely.net/","Domain exists"
"CodiumAI","https://www.codium.ai/","Domain exists"
"Generated Photos","https://generated.photos/","Domain exists"
"FlowGPT","https://flowgpt.com/","Domain exists"
"Resume AI Scanner","https://pdf.ai/tools","Domain exists"
"GhostWriter","https://www.ghostthewriter.com/","Name exists"
"Type AI","https://type.ai/","Name exists"
"Respeecher","https://marketplace.respeecher.com/","Name exists"
"Whisper API","https://whisperapi.com/","Name exists"
"N8n","https://n8n.io/","Domain exists"
"Magical","https://magical.so/","Name exists"
"Mubert","https://mubert.com/","Domain exists"
"MindPal","https://mindpal.space/","Domain exists"
"Cursor","https://cursor.sh/","Domain exists"
"Kaiber.ai","https://kaiber.ai/","Domain exists"
"Fine-Tuner","https://fine-tuner.ai/","Domain exists"
"Trolly.ai","https://trolly.ai/","Domain exists"
"PromptBase","https://promptbase.com/","Domain exists"
"Contenda","https://www.contenda.co/","Domain exists"
"DeepL","https://deepl.com/","Domain exists"
"SiteSpeakAI","https://sitespeak.ai/","Domain exists"
"Moonbeam","https://www.gomoonbeam.com/","Domain exists"
"Loopin AI","https://www.loopinhq.com/","Domain exists"
"Replit","https://replit.com/","Domain exists"
"Magic Studio","https://magicstudio.com/","Domain exists"
"Aiva","https://www.aiva.ai/","Domain exists"
"BloombergGPT","https://gpt3demo.com/apps","Domain exists"
"Chatfuel AI","https://chatfuel.com/","Domain exists"
"tldv","https://tldv.io/","Domain exists"
"Img2prompt","https://replicate.com/methexis-inc/","Domain exists"
"UIzard","https://uizard.io/autodesigner/","Domain exists"
"Public Prompts","https://publicprompts.art/","Domain exists"
"FineShare FineCam","https://www.fineshare.com/finecam/","Domain exists"
"Chatbot UI","https://www.chatbotui.com/","Domain exists"
"Soundful","https://soundful.com/","Domain exists"
"Rephrase","https://www.rephrase.ai/","Domain exists"
"Writesonic","https://writesonic.com/","Domain exists"
"Play.ht","https://www.play.ht/","Domain exists"
"ReviewGPT","https://www.reviewgpt.io/","Name exists"
"LemonRecruiter","https://chrome.google.com/webstore/detail/lemonrecruiter/kbgdnekpkdbagiccakldjfmhmncdnphc","Invalid URL"
"Mem.ai","https://mem.ai/","Domain exists"
"Imagine 3D","https://lumalabs.ai/featured","Domain exists"
"RocketAI","https://www.rocketai.io/","Domain exists"
"Replicastudios","https://www.replicastudios.com/","Domain exists"
"Lexica","https://lexica.art/","Domain exists"
"MindStudio","https://youai.ai/","Name exists"
"SiteGPT","https://sitegpt.ai/","Domain exists"
"Ecrett Music","https://ecrettmusic.com/","Domain exists"
"Looka","https://looka.grsm.io/","Name exists"
"Excel Formula Bot","https://excelformulabot.com/","Name exists"
"Notion AI","https://notion.so/","Domain exists"
"Suitmeup","https://suitmeup.pictures/","Domain exists"
"Sidekick","https://www.jigso.io/","Name exists"
"Medium Jailbreak","https://app.sttabot.io/bot/medium-jailbreak/","Domain exists"
"ChatGPT Writer","https://chatgptwriter.ai/","Domain exists"
"Sidekick AI","https://sidekickai.com/","Name exists"
"MathGPTPro","https://mathgptpro.com/","Domain exists"
"Sudowrite","https://www.sudowrite.com/","Domain exists"
"Proface","https://avatarize.club/","Domain exists"
"Descript","https://www.descript.com/","Domain exists"
"Otter AI","https://otter.ai/","Domain exists"
"LMQL","https://lmql.ai/","Domain exists"
"EditGPT","https://editgpt.app/","Domain exists"
"Pika","https://www.trypika.com/","Name exists"
"Wonder Studio","https://wonderdynamics.com/","Domain exists"
"Soundraw","https://soundraw.io/","Domain exists"
"Codeium","https://codeium.com/","Domain exists"
"Avian ChatGPT Plugin","https://avian.io/product/avian-chatgpt-plugin/","Domain exists"
"Postwise","https://postwise.ai/","Domain exists"
"Image Variations","https://imagevariations.com/","Name exists"
"GPT Mate","https://refiredesign.com/gptmate/","Domain exists"
"Adaptify Listicle Writer","https://adaptify.ai/","Domain exists"
"AI Backdrop","https://imgcreator.zmo.ai/photo-studio","Domain exists"
"SDXL Emoji","https://replicate.com/fofr/","Domain exists"
"SuperAGI","https://superagi.com/","Domain exists"
"Image Maker","https://clio.so/maker","Domain exists"
"Memos AI","https://apps.microsoft.com/store/detail/memos-ai/","Domain exists"
"Khroma","https://www.khroma.co/","Domain exists"
"Jenni","https://jenni.ai/","Domain exists"
"Usemotion","https://www.usemotion.com/","Domain exists"
"AssemblyAI","https://www.assemblyai.com/","Domain exists"
"Synthesia","https://www.synthesia.io/","Domain exists"
"Ponzu","https://www.ponzu.gg/","Name exists"
"Airtest","https://www.refraction.dev/","Domain exists"
"Wordtune","https://www.wordtune.com/","Domain exists"
"Imgcreator","https://imgcreator.zmo.ai/","Domain exists"
"Designs AI","https://designs.ai/","Domain exists"
"Social GPT","https://chrome.google.com/webstore/detail/social-gpt/lofcfikpfibojaakadanpdhcfjjgdfde/","Invalid URL"
"Freshly.ai","https://freshly.ai/discuro-form/","Domain exists"
"Galileo","https://www.usegalileo.ai/explore","Domain exists"
"Scholarcy","https://www.scholarcy.com/","Domain exists"
